"","Estimate","Std. Error","t value","Pr(>|t|)"
"Mean_local_UHI_total17",-1.22743794946806,0.75390473858733,-1.62810748711838,0.113960528255459
"Mean_veg_height17",-1.04028199366953,0.602524425356029,-1.72653912421033,0.0945363929191885
"Mean_veg_herb17",0.610674936335058,0.717743899153054,0.850825673413124,0.401606385619054
"(Intercept)18",-1.68805143204313,0.894404957666157,-1.88734579071196,0.0688226867087091
"share_impervious_10018",-0.589254458334073,1.26676494610354,-0.465164796473544,0.645172436602458
"mean_UHI_10018",-0.0556533437394627,1.14387459039878,-0.0486533613095303,0.961518017164718
"Mean_local_UHI_total18",0.882442148690443,1.13367897001284,0.778388037559212,0.442436691503995
"Mean_veg_height18",0.00235229176583513,0.962282238903434,0.00244449255191043,0.998065762132026
"Mean_veg_herb18",0.0661355308120098,0.811048799219825,0.0815432201806202,0.935551562361477
"(Intercept)19",-75.9988083467992,0.619699613176451,-122.63814069085,4.4181206428892e-42
"share_impervious_10019",-33.2171817911256,0.574934124679758,-57.7756309205473,2.55725490396465e-32
"mean_UHI_10019",17.120507777958,0.493382237696924,34.700292126193,8.93874639740381e-26
"Mean_local_UHI_total19",42.8375872701544,0.467514347344261,91.6283906868217,2.71124058922699e-38
"Mean_veg_height19",23.5252095945091,0.778210960246323,30.2298615622977,5.00774779801846e-24
"Mean_veg_herb19",15.4461684817985,1.25457745700118,12.3118492171217,2.93133437128101e-13
"(Intercept)20",2.44372208172945,0.243131596391878,10.0510263494946,4.06328336860192e-11
"share_impervious_10020",-0.496178928263648,0.322490680448729,-1.538583774183,0.134387985990886
"mean_UHI_10020",0.319911880499737,0.305014596311542,1.04884121733302,0.302627752797209
"Mean_local_UHI_total20",-0.100862154106106,0.282365110744487,-0.357204733404109,0.72343915495721
"Mean_veg_height20",0.368339793012154,0.275701428682805,1.33600973622785,0.191592941729329
"Mean_veg_herb20",-0.155239240740333,0.280114018846931,-0.554200183837154,0.58354985997537
"(Intercept)21",-72.4330445382558,0.620630799895426,-116.708749469831,1.94801819882316e-41
"share_impervious_10021",14.5960574614285,0.581283694527352,25.1100411018698,1.0660998764988e-21
"mean_UHI_10021",-44.3436726904715,0.38543485089802,-115.048425400961,2.99138234067237e-41
"Mean_local_UHI_total21",36.7035387114644,0.880447340835174,41.687375279762,4.05908514687133e-28
"Mean_veg_height21",3.56400729469386,0.660747930017732,5.39389853949026,7.6597223292984e-06
"Mean_veg_herb21",2.378747368787,0.778452039176914,3.0557404298178,0.0046824513974574
"(Intercept)22",-81.0857723438493,0.648736109190457,-124.990379285399,2.5013539117061e-42
"share_impervious_10022",13.8252642623642,0.480379507476455,28.7798793395486,2.08626510596968e-23
"mean_UHI_10022",23.4113075632787,0.44408462385542,52.7181224155618,3.89066602132341e-31
"Mean_local_UHI_total22",-33.1769517058882,0.477716577340078,-69.4490274769554,1.06527760129833e-34
"Mean_veg_height22",21.3910301705408,0.510447114057993,41.9064572634856,3.47738882581054e-28
"Mean_veg_herb22",-5.24903927359349,0.39847708900533,-13.1727505004015,5.24494466519065e-14
"(Intercept)23",-173.205798148025,1.45912547582357,-118.705211455693,1.17236950141358e-41
"share_impervious_10023",-12.5231442459606,0.299022422502306,-41.8802849002538,3.54209603509182e-28
"mean_UHI_10023",106.068675445407,0.926735132743865,114.454143042317,3.49299667957774e-41
"Mean_local_UHI_total23",-25.472392567943,0.277327145036356,-91.8496188485396,2.52265107327705e-38
"Mean_veg_height23",19.6562139680595,0.291730062451773,67.3780885071075,2.62695592970004e-34
"Mean_veg_herb23",93.3807508987437,0.836860169215997,111.58465217221,7.46893495065933e-41
"(Intercept)24",-2.42699802237564,2.09149586413129,-1.1604125372649,0.255032334652843
"share_impervious_10024",0.918553528764695,1.1945519995465,0.768952317783916,0.447933479298482
"mean_UHI_10024",-0.966830052786677,1.40663101712875,-0.68733736211803,0.497149909474108
"Mean_local_UHI_total24",0.426586151337326,0.94710906619574,0.45040868740788,0.655654086766498
"Mean_veg_height24",1.88563802173267,1.85843954936817,1.014635112761,0.318393453741858
"Mean_veg_herb24",-1.33957140364835,1.26601895773415,-1.0580974285297,0.298456867876332
"(Intercept)25",-2.15187734713984,1.02085826485152,-2.10791000203423,0.0435011325490593
"share_impervious_10025",0.642617838953151,0.778160072585663,0.825817028645361,0.415427194787461
"mean_UHI_10025",-2.01702752932817,0.99234721556602,-2.03258244462115,0.0510286203461832
"Mean_local_UHI_total25",0.385193500540904,0.7336744252027,0.52501966445741,0.603428313224503
"Mean_veg_height25",-0.679464551826598,0.645852781328024,-1.05204246458374,0.301180673538241
"Mean_veg_herb25",-0.503319913677304,0.454192070620956,-1.10816534729279,0.276596084307608
"(Intercept)26",2.38615873806237,0.216061507999843,11.043886345846,4.31315492645268e-12
"share_impervious_10026",-0.334093256482785,0.259019509568419,-1.28983819419416,0.206961785123499
"mean_UHI_10026",0.166138986344849,0.248256442090063,0.669223263437315,0.508470970671621
"Mean_local_UHI_total26",0.388181578945504,0.267941244783585,1.4487563467843,0.157778306722778
"Mean_veg_height26",-0.540763631094988,0.231461104834836,-2.33630454447568,0.0263469219360179
"Mean_veg_herb26",0.747385026814544,0.286360137539203,2.60994785530241,0.0139935842989777
"(Intercept)27",2.9531840843573,0.268766979287438,10.9878977402167,4.87857904131551e-12
"share_impervious_10027",-0.447079353939442,0.261642993230159,-1.7087381107361,0.0978274820294962
"mean_UHI_10027",0.855981094050334,0.252007000045231,3.39665602104981,0.00194059182723914
"Mean_local_UHI_total27",-0.0273084146120696,0.266017518878426,-0.102656451827708,0.9189187758294
"Mean_veg_height27",-0.635485361943738,0.264989498402683,-2.39815300521096,0.0229026735386501
"Mean_veg_herb27",0.748357320512581,0.333825163528442,2.24176425947836,0.0325253559985226
"(Intercept)28",-67.4547388370412,0.523280587216906,-128.907397837559,9.92799200681556e-43
"share_impervious_10028",6.97012136891753,0.326538087570201,21.3455080256727,1.08378925071334e-19
"mean_UHI_10028",9.48149967919677,0.393781599274913,24.078066869187,3.54424038692933e-21
"Mean_local_UHI_total28",24.693567365752,0.321766097809661,76.7438444691565,5.4101476129872e-36
"Mean_veg_height28",7.86311205964082,0.271195646835828,28.9942414319093,1.68242894905091e-23
"Mean_veg_herb28",0.0707404556826133,0.244948153881732,0.28879766824766,0.774722444338447
"(Intercept)29",-47.7149748547923,0.375661761862987,-127.015788400085,1.54569628103819e-42
"share_impervious_10029",11.5620837590673,0.95231258722731,12.1410594736868,4.16470631011201e-13
"mean_UHI_10029",-8.12784062916566,0.475654259808057,-17.0877070089639,5.23362460463547e-17
"Mean_local_UHI_total29",17.6574112257457,0.648187973600481,27.2411891995841,1.02254824908058e-22
"Mean_veg_height29",9.02038785337965,0.287969419148402,31.3241172623649,1.77888362483831e-24
"Mean_veg_herb29",-9.85419922900664,0.519304253199616,-18.9757722342759,2.92098325551931e-18
"(Intercept)30",-2.80702124311101,1.48268420720097,-1.89320236195821,0.0680127122741614
"share_impervious_10030",0.890591857258833,1.05087312822604,0.84747800028175,0.403439473416572
"mean_UHI_10030",-0.335963254633962,1.29019789086581,-0.260396685665411,0.79633683157714
"Mean_local_UHI_total30",0.565169561992202,0.859780106246429,0.657341985335741,0.515973077305012
"Mean_veg_height30",1.74804969175415,1.33069607258428,1.31363556845805,0.19892683439839
"Mean_veg_herb30",-1.22500866069617,0.970730547316733,-1.26194510318265,0.216691876387946
"(Intercept)31",-99.4433693457723,0.808229836538867,-123.038478474916,4.0073508103458e-42
"share_impervious_10031",-13.2821529923096,1.56755762697297,-8.47315133030104,1.86653880880745e-09
"mean_UHI_10031",-48.0968307926323,1.51084754615884,-31.8343375643115,1.1106950777888e-24
"Mean_local_UHI_total31",57.6208169267858,1.01969803511929,56.507725760249,4.94686052360583e-32
"Mean_veg_height31",-24.6472540353916,0.269815966439147,-91.348389647469,2.97101602373219e-38
"Mean_veg_herb31",61.8845141643116,0.688080750752518,89.9378657179869,4.73085795351688e-38
"(Intercept)32",2.67705920185527,0.193530836137771,13.8327268939691,1.47936712883406e-14
"share_impervious_10032",0.376661334262214,0.217406068708073,1.7325244713752,0.093450956222262
"mean_UHI_10032",-0.202035806690369,0.251924353088043,-0.801970131961642,0.42887742444715
"Mean_local_UHI_total32",-0.422734524508307,0.23817638503656,-1.77488009335358,0.0860662821991574
"Mean_veg_height32",-0.0932456679222631,0.229016925218907,-0.407156230191869,0.686783881558894
"Mean_veg_herb32",-0.0207864904719485,0.203545792760499,-0.102121936248552,0.919339434677066
"(Intercept)33",1.28689149739253,0.213705213942861,6.02180673858812,1.3118467979509e-06
"share_impervious_10033",0.0861347806563233,0.27673933975674,0.311248775588024,0.757764104731749
"mean_UHI_10033",0.208687780581968,0.296532030039433,0.70376134596393,0.487008261131649
"Mean_local_UHI_total33",0.279021823325624,0.268950434814751,1.03744700586861,0.30781772647208
"Mean_veg_height33",0.220564324749348,0.257423523401557,0.856814955505399,0.398339957846014
"Mean_veg_herb33",-0.171466939031202,0.229078844153071,-0.748506216997619,0.459983308773474
"(Intercept)34",-1.37895571296874,0.775986800164807,-1.77703501229129,0.0857041892417679
"share_impervious_10034",-0.125753538153587,0.665642153194911,-0.188920634833599,0.851427307712472
"mean_UHI_10034",-1.5908879589107,0.674362296579195,-2.35909979988609,0.025026171892127
"Mean_local_UHI_total34",-0.649984771065285,0.627386716592137,-1.03601933843276,0.308472355740972
"Mean_veg_height34",-0.568353592833085,0.387555834364018,-1.46650764209435,0.152914976678823
"Mean_veg_herb34",-0.0568714451606742,0.476872154341292,-0.119259312255779,0.905864960772141
"(Intercept)35",-1.45172705974942,1.01876667987301,-1.42498482570158,0.164482853901815
