"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)4",7.9655949551778,0.0749868267126926,106.226590781038,3.25706667191655e-40
"share_impervious_1004",0.131262393492639,0.103820384796534,1.264321970583,0.215849485565396
"mean_UHI_1004",0.0837835546876982,0.106698842480251,0.785233960745223,0.438474084222885
"Mean_local_UHI_total4",-0.00231065561617825,0.101038146205386,-0.0228691410418521,0.981906093283021
"Mean_veg_height4",-0.154170868285239,0.09560586945916,-1.61256698105858,0.117310478489104
"Mean_veg_herb4",-0.0104525295687881,0.0906971861759026,-0.115246459228801,0.909017716829782
"(Intercept)5",10.7989960446257,0.0517276216091998,208.766529538353,5.27729259477412e-49
"share_impervious_1005",-0.0183536503113247,0.0716176669357259,-0.256272664226781,0.799489542067211
"mean_UHI_1005",0.00826809624104667,0.0736032926303817,0.11233323871212,0.911307477376568
"Mean_local_UHI_total5",0.0704747250384504,0.0696984153634356,1.01113812517784,0.320036533409396
"Mean_veg_height5",-0.100261513421961,0.0659511070917859,-1.52024003603798,0.138921280457622
"Mean_veg_herb5",0.0174387617315114,0.0625649855207451,0.278730372689515,0.782364125938722
"(Intercept)6",5.1363823660208,0.0146986739649964,349.445288619411,1.03193866721619e-55
"share_impervious_1006",0.010409351029943,0.0203505342730608,0.511502592033787,0.612743709319097
"mean_UHI_1006",0.0280394673881824,0.0209147601893955,1.34065450114027,0.190096974567141
"Mean_local_UHI_total6",0.0195321609202189,0.0198051689104112,0.986215316242583,0.331915176222826
"Mean_veg_height6",-0.0333229961264551,0.0187403516847625,-1.77814145043764,0.0855187764424956
"Mean_veg_herb6",0.00511419405970671,0.0177781675473476,0.287667108889954,0.775579480693057
"(Intercept)7",0.605177663242571,0.0147069366342043,41.1491310729587,5.95559577961606e-28
"share_impervious_1007",0.00216901743276252,0.020361974062344,0.10652294449062,0.915876599254277
"mean_UHI_1007",-0.0106159443027813,0.0209265171509703,-0.507296279939686,0.615656088686289
"Mean_local_UHI_total7",-4.78419710775457e-06,0.0198163021296188,-0.000241427339796348,0.999808967150044
"Mean_veg_height7",-0.0205283083750984,0.0187508863307571,-1.09479136148491,0.282320187871763
"Mean_veg_herb7",0.00234847236250126,0.0177881613139905,0.132024458348833,0.895846448933446
"(Intercept)8",4.02056907071674,0.0525497028881597,76.5098344946617,5.92654844899521e-36
"share_impervious_1008",0.089385748179108,0.0727558507802384,1.22857127255787,0.228783560143849
"mean_UHI_1008",0.0422795802385836,0.0747730330332631,0.565438882488227,0.575980155413855
"Mean_local_UHI_total8",0.0265377419587439,0.0708060975003862,0.374794585432408,0.710449785689271
"Mean_veg_height8",-0.0918154249462737,0.0669992351282234,-1.37039512123619,0.180731658854061
"Mean_veg_herb8",0.00503282275394003,0.0635592996166759,0.0791831059230171,0.937412815985369
"(Intercept)9",6.82898914981822,0.0778064671117493,87.7689143758463,9.81360904092984e-38
"share_impervious_1009",0.0962136670056139,0.107724219163862,0.893147963869301,0.378886974797332
"mean_UHI_1009",-0.111607217730016,0.110710912066054,-1.00809591075744,0.321470665801328
"Mean_local_UHI_total9",-0.0802714249422283,0.104837363366262,-0.765675732055471,0.449851755443043
"Mean_veg_height9",-0.104112938082642,0.09920082318279,-1.04951687639528,0.302321926710248
"Mean_veg_herb9",-0.030629587118103,0.0941075645241179,-0.325474230185324,0.747081421120493
"(Intercept)10",13.7396345219278,0.0156667179044596,876.995079998011,1.06272021468572e-67
"share_impervious_10010",0.0167423277310133,0.0216908056073858,0.771862882091963,0.446233592432692
"mean_UHI_10010",0.0253090085055987,0.0222921910307683,1.13533068466291,0.265226266640562
"Mean_local_UHI_total10",0.0224039481593024,0.0211095228799887,1.06131949483997,0.297014497020324
"Mean_veg_height10",-0.0170544871717952,0.0199745775690188,-0.853809654440312,0.399976879129383
"Mean_veg_herb10",-0.00044752875658602,0.0189490246865668,-0.0236175087630383,0.981314101848327
"(Intercept)11",0.655966396818507,0.0183881806371967,35.6732626115048,3.97416271218788e-26
"share_impervious_10011",-0.0132580866482587,0.0254587115251111,-0.520768171444247,0.606351049914006
"mean_UHI_10011",-0.00892180266085251,0.0261645635015858,-0.340988018405572,0.73548924162439
"Mean_local_UHI_total11",0.0187795208106709,0.0247764542803044,0.757958366367191,0.454389169149794
"Mean_veg_height11",0.00501568513086526,0.023444357824702,0.213939966637965,0.832041314951825
"Mean_veg_herb11",0.00794345595971469,0.0222406563365838,0.35715924204307,0.723472859184053
"(Intercept)12",12.0964650688467,0.106641306981413,113.431327983959,4.56974540002029e-41
"share_impervious_10012",0.180131507000966,0.147646486874761,1.22001891689952,0.231961966131944
"mean_UHI_10012",0.140783452787578,0.151740039075048,0.92779370326871,0.360919522314178
"Mean_local_UHI_total12",-0.0320135812015333,0.143689771106125,-0.22279652166673,0.825203870828693
"Mean_veg_height12",-0.227249350206963,0.135964346288218,-1.67138927528278,0.105045705740752
"Mean_veg_herb12",-0.00296322976941642,0.128983541474461,-0.0229737045172011,0.981823378386638
"(Intercept)13",15.3485987093925,0.0509886826194771,301.019714981409,9.04987450227983e-54
"share_impervious_10013",-0.0636550244150121,0.0705945948360342,-0.901698275382977,0.374399794311596
"mean_UHI_10013",0.0729603147888919,0.0725518554870415,1.00562989463341,0.322636402960458
"Mean_local_UHI_total13",0.151710631067909,0.068702760140332,2.20821741015973,0.0350134990482588
"Mean_veg_height13",-0.0460117357866209,0.0650089828856184,-0.707775044989972,0.484547804916898
"Mean_veg_herb13",0.0251104141256454,0.0616712327102642,0.40716575657918,0.686776960801817
